Date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2002-10-11,88.38,89.22,88.06,89.1,421800,48.88009062,49.34466717,48.70310907,49.27829909,421800,0,1
2002-10-14,88.25,88.55,88.07,88.5,18300,48.80819186,48.97411206,48.70863974,48.9464587,18300,0,1
2002-10-15,86.16,87.3,86.15,87,297100,47.65228114,48.2827779,47.64675047,48.1168577,297100,0,1
2002-10-16,86.2,86.6,85.89,86.6,125200,47.67440384,47.89563077,47.50295296,47.89563077,125200,0,1
2002-10-17,85.15,85.56,85.07,85.14,233400,47.09368314,47.32044075,47.04943775,47.08815247,233400,0,1
2002-10-18,85.37,85.39,84.28,85.02,459100,47.21535795,47.2264193,46.61251456,47.02178439,459100,0,1
2002-10-21,84.54,85.6,84.5,85.5,134900,46.75631207,47.34256344,46.73418938,47.28725671,134900,0,1
2002-10-22,84.3,84.85,84.22,84.85,215800,46.62357591,46.92776294,46.57933052,46.92776294,215800,0,1
2002-10-23,84.33,85.2,84.18,84.75,127900,46.64016793,47.12133651,46.55720783,46.87245621,127900,0,1
2002-10-24,85.07,85.25,84.08,84.16,339600,47.04943775,47.14898987,46.5019011,46.54614648,339600,0,1
2002-10-25,85.38,85.56,85.15,85.35,146100,47.22088863,47.32044075,47.09368314,47.20429661,146100,0,1
2002-10-28,85.26,85.64,85.2,85.56,97800,47.15452055,47.36468613,47.12133651,47.32044075,97800,0,1
2002-10-29,86.37,86.89,85.77,85.82,125000,47.76842528,48.05602029,47.43658488,47.46423825,125000,0,1
2002-10-30,86.34,86.68,86.07,86.37,31900,47.75183326,47.93987615,47.60250508,47.76842528,31900,0,1
2002-10-31,86.73,86.86,86.02,86.05,512700,47.96752952,48.03942827,47.57485172,47.59144374,512700,0,1
2002-11-01,85.98,86.93,85.25,86.3,125100,47.7677616,48.29555148,47.36219675,47.94554345,125100,0.3888,1
2002-11-04,85.6,85.75,85.25,85.48,342500,47.55664565,47.6399809,47.36219675,47.48997746,342500,0,1
2002-11-05,85.27,85.6,85.09,85.6,73800,47.37330812,47.55664565,47.27330582,47.55664565,73800,0,1
2002-11-06,85.61,86.13,84.91,85.05,118500,47.56220133,47.85109685,47.17330353,47.25108309,118500,0,1
2002-11-07,87.73,87.73,86.85,87.05,147900,48.74000611,48.74000611,48.25110601,48.36221967,147900,0,1
2002-11-08,88.44,88.65,87.95,88.4,294700,49.1344596,49.25112894,48.86223113,49.11223686,294700,0,1
2002-11-11,88.92,88.92,88.4,88.55,70000,49.40113238,49.40113238,49.11223686,49.19557211,70000,0,1
2002-11-12,88.41,89.15,88.37,89.15,494300,49.11779255,49.52891308,49.09556982,49.52891308,494300,0,1
2002-11-13,88.6,88.69,87.96,88.45,104700,49.22335052,49.27335167,48.86778682,49.14001528,104700,0,1
2002-11-14,86.76,87.65,86.76,87.65,118000,48.20110487,48.69556065,48.20110487,48.69556065,118000,0,1
2002-11-15,87.11,87.23,86.26,86.54,110700,48.39555377,48.46222196,47.92332072,48.07887984,110700,0,1
2002-11-18,87.5,87.63,86.96,87.02,32200,48.6122254,48.68444928,48.31221853,48.34555262,32200,0,1
2002-11-19,87.82,88.23,87.51,87.95,51800,48.79000726,49.01779026,48.61778109,48.86223113,51800,0,1
2002-11-20,86.96,88.22,86.81,88.2,307400,48.31221853,49.01223457,48.22888328,49.00112321,307400,0,1
2002-11-21,86.12,86.5,85.86,86.5,323200,47.84554116,48.05665711,47.70109341,48.05665711,323200,0,1
2002-11-22,86.04,86.39,85.88,86.33,184800,47.8010957,47.9955446,47.71220477,47.9622105,184800,0,1
2002-11-25,85.88,86.38,85.8,86,288200,47.71220477,47.98998892,47.66775931,47.77887297,288200,0,1
2002-11-26,86.96,87.02,86.15,86.2,377800,48.31221853,48.34555262,47.86220821,47.88998663,377800,0,1
2002-11-27,85,86.33,84.96,86.25,325600,47.22330468,47.9622105,47.20108195,47.91776504,325600,0,1
2002-11-29,85.55,85.63,85.14,85.16,31700,47.52886724,47.5733127,47.30108424,47.3121956,31700,0,1
2002-12-02,85.24,85.4,84.15,84.36,284900,47.57303492,47.66233203,46.96469836,47.08190082,284900,0.3895,1
2002-12-03,85.36,85.7,85.12,85.7,113800,47.64000775,47.82976411,47.50606208,47.82976411,113800,0,1
2002-12-04,85.8,86,85.55,85.9,129000,47.8855748,47.99719618,47.74604807,47.94138549,129000,0,1
2002-12-05,86.02,86.28,85.26,85.28,206400,48.00835832,48.15346613,47.58419705,47.59535919,206400,0,1
