Date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-02-13,99.69,99.8,99.69,99.8,1900,79.55942657,79.64721408,79.55942657,79.64721408,1900,0,1
2007-02-14,100.12,100.13,99.89,99.89,16600,79.90259593,79.91057661,79.71904023,79.71904023,16600,0,1
2007-02-15,100.27,100.3,100.22,100.24,9900,80.02230617,80.04624822,79.98240276,79.99836412,9900,0,1
2007-02-16,100.28,100.29,100.26,100.29,16300,80.03028686,80.03826754,80.01432549,80.03826754,16300,0,1
2007-02-20,100.27,100.32,100.24,100.24,5400,80.02230617,80.06220959,79.99836412,79.99836412,5400,0,1
2007-02-21,100.36,100.36,100.3,100.3,1900,80.09413232,80.09413232,80.04624822,80.04624822,1900,0,1
2007-02-22,100.21,100.21,100.21,100.21,200,79.97442208,79.97442208,79.97442208,79.97442208,200,0,1
2007-02-23,100.42,100.47,100.23,100.23,13300,80.14201641,80.18191983,79.99038344,79.99038344,13300,0,1
2007-02-26,100.59,100.62,100.54,100.55,1400,80.27768802,80.30163007,80.23778461,80.24576529,1400,0,1
2007-02-27,101.2,101.27,100.83,100.83,12300,80.76450967,80.82037445,80.46922441,80.46922441,12300,0,1
2007-02-28,101.02,101.2,100.97,101.2,126000,80.62085738,80.76450967,80.58095397,80.76450967,126000,0,1
2007-03-01,100.68,100.95,100.68,100.82,48700,80.6356392,80.85188496,80.6356392,80.74776663,48700,0.358522,1
2007-03-02,100.96,100.96,100.8385,100.92,13600,80.85989406,80.85989406,80.76258347,80.82785765,13600,0,1
2007-03-05,100.99,101.11,100.96,101.1,8500,80.88392136,80.98003059,80.85989406,80.97202149,8500,0,1
2007-03-06,100.89,101.01,100.8,100.85,10200,80.80383034,80.89993957,80.73174843,80.77179394,10200,0,1
2007-03-07,101.03,101.03,100.9,100.9,4600,80.91595777,80.91595777,80.81183945,80.81183945,4600,0,1
2007-03-08,101.05,101.05,100.967,100.98,3500,80.93197598,80.93197598,80.86550043,80.87591226,3500,0,1
2007-03-09,100.69,100.73,100.62,100.62,8400,80.6436483,80.67568471,80.58758459,80.58758459,8400,0,1
2007-03-12,100.87,100.9,100.77,100.77,8300,80.78781214,80.81183945,80.70772112,80.70772112,8300,0,1
2007-03-13,101.18,101.27,101.05,101.09,25200,81.0360943,81.10817622,80.93197598,80.96401238,25200,0,1
2007-03-14,101.16,101.3,101.14,101.2,5000,81.0200761,81.13220353,81.00405789,81.05211251,5000,0,1
2007-03-15,101.06,101.13,101.05,101.13,20500,80.93998508,80.99604879,80.93197598,80.99604879,20500,0,1
2007-03-16,101.08,101.1,101,101,9500,80.95600328,80.97202149,80.89193047,80.89193047,9500,0,1
2007-03-19,100.91,100.97,100.89,100.9,2000,80.81984855,80.86790316,80.80383034,80.81183945,2000,0,1
2007-03-20,101.07,101.11,101.06,101.1,10100,80.94799418,80.98003059,80.93998508,80.97202149,10100,0,1
2007-03-21,101.27,101.36,100.99,101.07,28000,81.10817622,81.18025814,80.88392136,80.94799418,28000,0,1
2007-03-22,101.08,101.2,101.05,101.2,4300,80.95600328,81.05211251,80.93197598,81.05211251,4300,0,1
2007-03-23,100.98,101.18,100.98,101.18,17400,80.87591226,81.0360943,80.87591226,81.0360943,17400,0,1
2007-03-26,101.11,101.25,100.96,100.96,8200,80.98003059,81.09215802,80.85989406,80.85989406,8200,0,1
2007-03-27,101.09,101.1,101.03,101.06,31500,80.96401238,80.97202149,80.91595777,80.93998508,31500,0,1
2007-03-28,101.12,101.3,101.12,101.23,2100,80.98803969,81.13220353,80.98803969,81.07613981,2100,0,1
2007-03-29,101.01,101.07,101,101,7100,80.89993957,80.94799418,80.89193047,80.89193047,7100,0,1
2007-03-30,101,101.15,100.84,101.05,27600,80.89193047,81.012067,80.76378483,80.93197598,27600,0,1
2007-04-02,100.64,100.73,100.54,100.73,25100,80.89541603,80.96775891,80.81503505,80.96775891,25100,0.364352,1
2007-04-03,100.55,100.66,100.51,100.51,8200,80.82307315,80.91149222,80.79092076,80.79092076,8200,0,1
2007-04-04,100.79,100.83,100.59,100.78,19400,81.01598749,81.04813989,80.85522554,81.0079494,19400,0,1
2007-04-05,100.62,100.74,100.55,100.74,3300,80.87933983,80.97579701,80.82307315,80.97579701,3300,0,1
2007-04-09,100.22,100.24,100.1,100.1,6900,80.55781592,80.57389212,80.46135875,80.46135875,6900,0,1
2007-04-10,100.35,100.3918,100.331,100.39,5500,80.66231119,80.69591044,80.64703881,80.69446358,5500,0,1
2007-04-11,100.34,100.49,100.28,100.46,4800,80.65427309,80.77484456,80.60604451,80.75073027,4800,0,1
2007-04-12,100.32,100.37,100.3,100.33,3500,80.6381969,80.67838739,80.6221207,80.646235,3500,0,1
2007-04-13,100.21,100.34,100.13,100.34,15200,80.54977782,80.65427309,80.48547304,80.65427309,15200,0,1
2007-04-16,100.28,100.33,100.23,100.25,3100,80.60604451,80.646235,80.56585402,80.58193021,3100,0,1
2007-04-17,100.6,100.6,100.45,100.45,2200,80.86326364,80.86326364,80.74269217,80.74269217,2200,0,1
2007-04-18,100.75,100.77,100.7,100.7,6300,80.9838351,80.9999113,80.94364461,80.94364461,6300,0,1
2007-04-19,100.75,100.85,100.65,100.85,2800,80.9838351,81.06421608,80.90345413,81.06421608,2800,0,1
2007-04-20,100.72,100.75,100.65,100.65,3500,80.95972081,80.9838351,80.90345413,80.90345413,3500,0,1
2007-04-23,100.86,100.88,100.71,100.71,1900,81.07225418,81.08833037,80.95168271,80.95168271,1900,0,1
2007-04-24,101.03,101.05,101.02,101.05,1300,81.20890184,81.22497804,81.20086374,81.22497804,1300,0,1
2007-04-25,100.92,101.03,100.91,100.94,7100,81.12048277,81.20890184,81.11244467,81.13655896,7100,0,1
2007-04-26,100.76,100.89,100.76,100.89,6900,80.9918732,81.09636847,80.9918732,81.09636847,6900,0,1
2007-04-27,100.76,100.77,100.7,100.77,1700,80.9918732,80.9999113,80.94364461,80.9999113,1700,0,1
2007-04-30,101.06,101.06,100.92,100.93,8800,81.23301613,81.23301613,81.12048277,81.12852086,8800,0,1
2007-05-01,100.63,100.78,100.55,100.78,7600,81.18672875,81.30774643,81.12218598,81.30774643,7600,0.372415,1
2007-05-02,100.59,100.62,100.53,100.62,28400,81.15445737,81.1786609,81.10605029,81.1786609,28400,0,1
2007-05-03,100.5,100.5,100.39,100.49,12900,81.08184676,81.08184676,80.99310046,81.07377891,12900,0,1
2007-05-04,100.65,100.67,100.6,100.65,64900,81.20286444,81.21900013,81.16252521,81.20286444,64900,0,1
2007-05-07,100.69,100.69,100.52,100.52,1500,81.23513582,81.23513582,81.09798245,81.09798245,1500,0,1
2007-05-08,100.71,100.76,100.68,100.7,8800,81.25127151,81.29161074,81.22706798,81.24320367,8800,0,1
2007-05-09,100.55,100.74,100.47,100.7,10300,81.12218598,81.27547505,81.05764322,81.24320367,10300,0,1
2007-05-10,100.65,100.65,100.57,100.57,12200,81.20286444,81.20286444,81.13832168,81.13832168,12200,0,1
2007-05-11,100.58,100.83,100.58,100.83,1400,81.14638952,81.34808566,81.14638952,81.34808566,1400,0,1
2007-05-14,100.43,100.56,100.43,100.56,8400,81.02537184,81.13025383,81.02537184,81.13025383,8400,0,1
2007-05-15,100.44,100.55,100.36,100.5,8300,81.03343968,81.12218598,80.96889692,81.08184676,8300,0,1
2007-05-16,100.51,100.52,100.45,100.45,4700,81.0899146,81.09798245,81.04150753,81.04150753,4700,0,1
2007-05-17,100.28,100.41,100.26,100.35,8800,80.90435416,81.00923615,80.88821847,80.96082908,8800,0,1
2007-05-18,100.1,100.26,100.05,100.24,3300,80.75913294,80.88821847,80.71879371,80.87208278,3300,0,1
2007-05-21,100.24,100.24,100.05,100.05,5300,80.87208278,80.87208278,80.71879371,80.71879371,5300,0,1
2007-05-22,99.99,100.15,99.99,100.06,9900,80.67038664,80.79947217,80.67038664,80.72686156,9900,0,1
2007-05-23,99.99,100.13,99.97,100.13,4000,80.67038664,80.78333648,80.65425095,80.78333648,4000,0,1
2007-05-24,100.03,100.04,99.85,100.02,11400,80.70265802,80.71072587,80.5574368,80.69459018,11400,0,1
2007-05-25,99.93,100.04,99.92,99.96,10600,80.62197957,80.71072587,80.61391172,80.6461831,10600,0,1
2007-05-29,99.84,99.95,99.79,99.95,10800,80.54936896,80.63811526,80.50902973,80.63811526,10800,0,1
2007-05-30,99.9,100.05,99.84,100.05,18600,80.59777603,80.71879371,80.54936896,80.71879371,18600,0,1
2007-05-31,99.81,99.91,99.68,99.89,9600,80.52516542,80.60584388,80.42028343,80.58970818,9600,0,1
2007-06-01,99.12,99.29,99.02,99.05,49100,80.27751968,80.41520308,80.19652944,80.22082651,49100,0.383046,1
2007-06-04,99.25,99.25,99.06,99.12,6800,80.38280698,80.38280698,80.22892554,80.27751968,6800,0,1
2007-06-05,99.04,99.11,98.93,99.0901,16600,80.21272749,80.26942065,80.12363823,80.2533036,16600,0,1
2007-06-06,99.2,99.2,99,99,27900,80.34231186,80.34231186,80.1803314,80.1803314,27900,0,1
2007-06-07,98.75,98.86,98.74,98.82,3000,79.97785581,80.06694507,79.96975679,80.03454898,3000,0,1
2007-06-08,98.75,98.79,98.57,98.67,6000,79.97785581,80.01025191,79.83207339,79.91306363,6000,0,1
2007-06-11,98.77,98.82,98.66,98.66,6200,79.99405386,80.03454898,79.9049646,79.9049646,6200,0,1
2007-06-12,98.35,98.55,98.33,98.5,8000,79.65389488,79.81587535,79.63769683,79.77538023,8000,0,1
2007-06-13,98.51,98.55,98.33,98.4,13200,79.78347925,79.81587535,79.63769683,79.69439,13200,0,1
2007-06-14,98.47,98.58,98.38,98.51,3800,79.75108316,79.84017242,79.67819195,79.78347925,3800,0,1
2007-06-15,98.76,98.77,98.55,98.55,14800,79.98595484,79.99405386,79.81587535,79.81587535,14800,0,1
2007-06-18,98.8299,98.85,98.67,98.73,9200,80.04256701,80.05884605,79.91306363,79.96165777,9200,0,1
2007-06-19,99.1,99.1026,98.94,98.98,5200,80.26132163,80.26342738,80.13173726,80.16413335,5200,0,1
2007-06-20,98.93,99.06,98.87,99.06,74400,80.12363823,80.22892554,80.07504409,80.22892554,74400,0,1
2007-06-21,98.89,99.02,98.84,98.98,8900,80.09124214,80.19652944,80.05074702,80.16413335,8900,0,1
2007-06-22,99.1,99.13,98.8,98.89,8900,80.26132163,80.2856187,80.01835093,80.09124214,8900,0,1
2007-06-25,99.23,99.33,99.2,99.33,4200,80.36660894,80.44759917,80.34231186,80.44759917,4200,0,1
2007-06-26,99.28,99.39,99.15,99.39,6800,80.40710405,80.49619331,80.30181675,80.49619331,6800,0,1
2007-06-27,99.4,99.55,99.38,99.52,5000,80.50429233,80.62577768,80.48809429,80.60148061,5000,0,1
2007-06-28,99.26,99.38,99.24,99.36,3200,80.39090601,80.48809429,80.37470796,80.47189624,3200,0,1
2007-06-29,99.58,99.59,99.3,99.32,4000,80.65007475,80.65817378,80.4233021,80.43950015,4000,0,1
2007-07-02,99.33,99.36,99.21,99.29,11300,80.76826947,80.79266339,80.67069379,80.73574424,11300,0.395937,1
2007-07-03,99.19,99.39,99.18,99.32,3700,80.65443118,80.81705731,80.64629987,80.76013816,3700,0,1
2007-07-05,98.78,99.02,98.76,99,4100,80.3210476,80.51619896,80.30478499,80.49993635,4100,0,1
2007-07-06,98.63,98.71,98.53,98.7,6200,80.199078,80.26412845,80.11776493,80.25599715,6200,0,1
2007-07-09,98.73,98.78,98.7048,98.75,5300,80.28039107,80.3210476,80.25990018,80.29665368,5300,0,1
2007-07-10,99.31,99.31,99.0799,99.12,36200,80.75200686,80.75200686,80.56490549,80.59751203,36200,0,1
2007-07-11,99.07,99.38,99.07,99.3,6200,80.5568555,80.808926,80.5568555,80.74387555,6200,0,1
2007-07-12,98.96,99.17,98.92,99.15,11200,80.46741112,80.63816856,80.4348859,80.62190595,11200,0,1
2007-07-13,99.04,99.09,98.94,99.09,3200,80.53246158,80.57311811,80.45114851,80.57311811,3200,0,1
2007-07-16,99.27,99.29,99.039,99.08,26400,80.71948163,80.73574424,80.53164845,80.5649868,26400,0,1
2007-07-17,99.19,99.27,99.05,99.05,6700,80.65443118,80.71948163,80.54059288,80.54059288,6700,0,1
2007-07-18,99.44,99.53,99.25,99.25,17900,80.85771384,80.9308956,80.70321902,80.70321902,17900,0,1
2007-07-19,99.4,99.41,99.22,99.35,13000,80.82518862,80.83331992,80.6788251,80.78453208,13000,0,1
